Vendor Ticket ID,Component,Priority,Summary
VEN-1001,notification-hub,P2,Checkout app unable to acquire session from cache in notification-hub due to limit reach.
VEN-1002,search-engine,P0,Container restarted in search-engine due to memory exhaustion.
VEN-1003,notification-hub,P0,Unable to save uploaded files in notification-hub: Access Denied.
VEN-1004,search-engine,P2,Checkout app unable to acquire session from cache in search-engine due to limit reach.
VEN-1005,order-processor,P3,Checkout app unable to acquire session from cache in order-processor due to limit reach.
VEN-1006,order-processor,P1,Checkout app unable to acquire session from cache in order-processor due to limit reach.
VEN-1007,inventory-api,P0,Slow response times for status check in inventory-api subsystem.
VEN-1008,order-processor,P3,Unable to save uploaded files in order-processor: Access Denied.
VEN-1009,inventory-api,P0,Internal server error during login token verification in inventory-api.
VEN-1010,order-processor,P0,Requests failing to external dependency from order-processor.
VEN-1011,payment-gateway,P3,Requests failing to external dependency from payment-gateway.
VEN-1012,inventory-api,P1,Requests failing to external dependency from inventory-api.
VEN-1013,payment-gateway,P1,Query timeouts in payment-gateway backend due to database blocking.
VEN-1014,order-processor,P2,Consistency issue in order-processor: old records appearing in results.
VEN-1015,search-engine,P1,Requests failing to external dependency from search-engine.
VEN-1016,notification-hub,P2,Query timeouts in notification-hub backend due to database blocking.
VEN-1017,inventory-api,P2,Consistency issue in inventory-api: old records appearing in results.
VEN-1018,auth-service,P2,Slow response times for status check in auth-service subsystem.
VEN-1019,payment-gateway,P3,Checkout app unable to acquire session from cache in payment-gateway due to limit reach.
VEN-1020,inventory-api,P3,Consistency issue in inventory-api: old records appearing in results.
VEN-1021,payment-gateway,P0,Checkout app unable to acquire session from cache in payment-gateway due to limit reach.
VEN-1022,search-engine,P0,Slow response times for status check in search-engine subsystem.
VEN-1023,inventory-api,P3,Slow response times for status check in inventory-api subsystem.
VEN-1024,inventory-api,P2,Unable to save uploaded files in inventory-api: Access Denied.
VEN-1025,search-engine,P3,Container restarted in search-engine due to memory exhaustion.
VEN-1026,auth-service,P0,Unable to save uploaded files in auth-service: Access Denied.
VEN-1027,search-engine,P2,Slow response times for status check in search-engine subsystem.
VEN-1028,inventory-api,P3,inventory-api processing delay: message queue backlog detected.
VEN-1029,auth-service,P0,Consistency issue in auth-service: old records appearing in results.
VEN-1030,order-processor,P3,Container restarted in order-processor due to memory exhaustion.
VEN-1031,auth-service,P1,Requests failing to external dependency from auth-service.
VEN-1032,search-engine,P0,Internal server error during login token verification in search-engine.
VEN-1033,search-engine,P3,Container restarted in search-engine due to memory exhaustion.
VEN-1034,notification-hub,P3,Container restarted in notification-hub due to memory exhaustion.
VEN-1035,notification-hub,P1,Checkout app unable to acquire session from cache in notification-hub due to limit reach.
VEN-1036,notification-hub,P1,notification-hub processing delay: message queue backlog detected.
VEN-1037,search-engine,P3,Unable to save uploaded files in search-engine: Access Denied.
VEN-1038,notification-hub,P0,notification-hub processing delay: message queue backlog detected.
VEN-1039,payment-gateway,P2,Checkout app unable to acquire session from cache in payment-gateway due to limit reach.
VEN-1040,search-engine,P1,Internal server error during login token verification in search-engine.
VEN-1041,auth-service,P3,Container restarted in auth-service due to memory exhaustion.
VEN-1042,search-engine,P1,Container restarted in search-engine due to memory exhaustion.
VEN-1043,inventory-api,P1,Consistency issue in inventory-api: old records appearing in results.
VEN-1044,payment-gateway,P3,payment-gateway processing delay: message queue backlog detected.
VEN-1045,order-processor,P0,Container restarted in order-processor due to memory exhaustion.
VEN-1046,inventory-api,P0,Slow response times for status check in inventory-api subsystem.
VEN-1047,payment-gateway,P2,Unable to save uploaded files in payment-gateway: Access Denied.
VEN-1048,auth-service,P2,auth-service processing delay: message queue backlog detected.
VEN-1049,payment-gateway,P3,Container restarted in payment-gateway due to memory exhaustion.
VEN-1050,notification-hub,P0,Container restarted in notification-hub due to memory exhaustion.
